"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"	"qvalue"
"ICAM1"	2.42433866247224e-06	1.46851095780073	0.333	0.05	0.0325976576556017	"3"	"ICAM1"	0.00325976576556017
"IER2"	2.71823197847678e-06	1.37413684217146	0.431	0.107	0.0365493471825988	"3"	"IER2"	0.0033226679256908
"TLR2"	5.07124049426483e-06	1.36598460625725	0.294	0.038	0.068187899685885	"3"	"TLR2"	0.00568232497382375
"GM28659"	7.04268947884738e-06	0.926119353158284	0.137	0	0.0946960027325819	"3"	"GM28659"	0.00687633462794186
"GM24098"	7.1596522974257e-06	1.20501568927133	0.314	0.057	0.096268684791186	"3"	"GM24098"	0.00687633462794186
"FOSB"	8.0050927330518e-06	1.6224122757246	0.392	0.113	0.107636476888614	"3"	"FOSB"	0.00717576512590763
"GM13149"	9.84143233354772e-06	1.0288857557071	0.137	0	0.132327899156883	"3"	"GM13149"	0.00827049369730516
"NFKBIA"	2.20331881456029e-05	0.94081037797555	0.647	0.302	0.296258247805776	"3"	"NFKBIA"	0.0172916020094954
"FOS"	2.31725480962882e-05	0.661239911933592	0.667	0.314	0.311578081702692	"3"	"FOS"	0.0172916020094954
"IL1B"	2.5287192226113e-05	1.62116593067534	0.275	0.038	0.340011586672316	"3"	"IL1B"	0.0172916020094954
"CSF1"	2.70254855376744e-05	1.57279682691029	0.176	0.006	0.36338467853957	"3"	"CSF1"	0.0172916020094954
"GM10269"	2.82038035980145e-05	1.38129468180214	0.353	0.101	0.379228343178903	"3"	"GM10269"	0.0172916020094954
"H2.K1"	2.82920752795551e-05	1.41191876791371	0.549	0.233	0.380415244208898	"3"	"H2.K1"	0.0172916020094954
"GM15590"	3.36029523120269e-05	1.1472976548289	0.216	0.025	0.451825296787513	"3"	"GM15590"	0.0196445781211962
"RRAD"	3.74394802117125e-05	1.48467030938607	0.118	0	0.503411250926686	"3"	"RRAD"	0.0209754687886119
"LYZ1"	4.6332809844517e-05	1.28268682719409	0.118	0	0.622990961169376	"3"	"LYZ1"	0.0242385531632143
"PLEKHO2"	4.68691344818959e-05	1.07454640153409	0.157	0.006	0.630202382243572	"3"	"PLEKHO2"	0.0242385531632143
"CASP4"	4.87967262094208e-05	1.39544312727129	0.216	0.019	0.656120780611872	"3"	"CASP4"	0.0243007696522916
"GM4997"	5.28451929133523e-05	0.98535944765541	0.118	0	0.710556463912936	"3"	"GM4997"	0.0247905452429152
"CSRNP1"	5.34676343927222e-05	0.914721789928333	0.137	0.006	0.718925812044542	"3"	"CSRNP1"	0.0247905452429152
"GM24272"	7.0224530585133e-05	0.871307096039297	0.196	0.019	0.944239038247698	"3"	"GM24272"	0.0301943648772127
"GM8814"	7.07575733756881e-05	1.01077966410921	0.176	0.019	0.951406331609502	"3"	"GM8814"	0.0301943648772127
"CDKN1A"	7.22511705912929e-05	1.22321319542078	0.157	0.006	0.971489239770524	"3"	"CDKN1A"	0.0301943648772127
"ATF4"	7.41048669454127e-05	0.919919183561514	0.373	0.101	0.99641404094802	"3"	"ATF4"	0.0301943648772127
"GM13413"	7.79882916366256e-05	0.589688948945865	0.098	0	1	"3"	"GM13413"	0.0307131793559673
"FXYD5"	7.99465474831812e-05	1.20683299835737	0.196	0.019	1	"3"	"FXYD5"	0.0307131793559673
"SNAPC1"	8.6116487474109e-05	1.38429480893261	0.157	0.006	1	"3"	"SNAPC1"	0.0321645080715797
"GM5558"	9.95048387050248e-05	0.732149959208176	0.235	0.038	1	"3"	"GM5558"	0.0358738363773737
"GM7290"	0.000101383741063528	1.13608086382509	0.314	0.075	1	"3"	"GM7290"	0.0358738363773737
"BTG2"	0.000105470325444972	0.786578963053655	0.588	0.264	1	"3"	"BTG2"	0.0363629229726433
"ADAMTS1"	0.000109835659924551	2.10706384080831	0.216	0.025	1	"3"	"ADAMTS1"	0.0369212570836378
"MIR692.1"	0.000112962185344626	1.36460903430422	0.314	0.075	1	"3"	"MIR692.1"	0.0370460864425328
"GM42689"	0.000133311933077915	0.777799028647906	0.098	0	1	"3"	"GM42689"	0.0416863314457126
"ARID5A"	0.000140737808835988	0.950109992641146	0.157	0.006	1	"3"	"ARID5A"	0.043008194945652
"GM6485"	0.000144900198916767	0.880246194381793	0.137	0.006	1	"3"	"GM6485"	0.04329617943633
"FTH1"	0.000174656807023435	0.603487941062038	0.882	0.686	1	"3"	"FTH1"	0.0510529440703717
"APOBR"	0.00018206682611855	0.660570382587127	0.098	0	1	"3"	"APOBR"	0.0515675667044507
"GM7082"	0.000188554742486193	0.847327985728568	0.098	0	1	"3"	"GM7082"	0.0515675667044507
"LMNA"	0.000200409348670487	1.03588964497748	0.098	0	1	"3"	"LMNA"	0.0515675667044507
"JUND"	0.000200623405098585	0.732314595224082	0.706	0.403	1	"3"	"JUND"	0.0515675667044507
"KLF2"	0.000202424997931159	1.06450993676822	0.49	0.189	1	"3"	"KLF2"	0.0515675667044507
"GM16210"	0.000203263501066182	0.846920676904526	0.098	0	1	"3"	"GM16210"	0.0515675667044507
"GM5445"	0.00021317315365677	0.85406992398114	0.098	0	1	"3"	"GM5445"	0.052144373901761
"SOCS3"	0.000213613732970154	0.987611097091995	0.373	0.119	1	"3"	"SOCS3"	0.052144373901761
"RBM8A"	0.000217171273129453	1.31296678258074	0.157	0.013	1	"3"	"RBM8A"	0.052144373901761
"USP38"	0.000230781861878951	0.826577494313261	0.098	0	1	"3"	"USP38"	0.0544402265758662
"GM15131"	0.000239595652248943	0.736572980491889	0.216	0.031	1	"3"	"GM15131"	0.0555448817265394
"GM12933"	0.000253810263552843	0.895027436304439	0.098	0	1	"3"	"GM12933"	0.0578429288768055
"GM13688"	0.000303488554337811	0.91252456278313	0.137	0.006	1	"3"	"GM13688"	0.0668968377315772
"HERPUD1"	0.000326799340480657	0.914905414106706	0.275	0.069	1	"3"	"HERPUD1"	0.0708732892274663
