"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"	"qvalue"
"GM6905"	0.00874539683951059	0.650778308429903	0.157	0.038	1	"3"	"GM6905"	0.386352271125777
"HNRNPC"	0.0087548095470426	0.570659140704445	0.412	0.195	1	"3"	"HNRNPC"	0.386352271125777
"NLRP3"	0.00897353750959934	0.417001808478973	0.216	0.063	1	"3"	"NLRP3"	0.391117451005004
"GM17087"	0.00905796994217757	0.99874614334352	0.353	0.17	1	"3"	"GM17087"	0.392882141427482
"LYAR"	0.00928451657007233	0.520682610200423	0.118	0.031	1	"3"	"LYAR"	0.396626407225687
"RBM8A2"	0.00957059650983598	0.777994883755103	0.118	0.019	1	"3"	"RBM8A2"	0.404489563834308
"NR4A1"	0.00960821840737431	1.00193561690501	0.196	0.05	1	"3"	"NR4A1"	0.404489563834308
"GM5777"	0.0097519140344424	0.829802537193602	0.157	0.038	1	"3"	"GM5777"	0.405957387328522
"TTR1"	5.12150606224052e-08	0.156579831828975	0.96	0.681	0.00068863770512886	"4"	"TTR"	0.00011477295085481
"WDFY4"	0.000119962828485108	0.985670549380904	0.18	0	1	"4"	"WDFY4"	0.0384052426621609
"GM5590"	0.000200118397871072	0.79914097337836	0.12	0	1	"4"	"GM5590"	0.0515675667044507
"FCRLS1"	0.000286727351104985	0.0885953224050939	0.86	0.475	1	"4"	"FCRLS"	0.0642555993826272
"AAED1"	0.000373328270595664	0.53799231286186	0.06	0	1	"4"	"AAED1"	0.0784339363504579
"TCP1"	0.000443142184788756	0.703587075110594	0.14	0.006	1	"4"	"TCP1"	0.0889326838308898
"CX3CR1"	0.000503222925313748	0.219852190068663	0.96	0.812	1	"4"	"CX3CR1"	0.096661935053838
"SCCPDH"	0.000980102972660897	0.351300687156179	0.06	0.006	1	"4"	"SCCPDH"	0.145397563459765
"ANKRA2"	0.000984023373110112	0.791754031766103	0.12	0	1	"4"	"ANKRA2"	0.145397563459765
"2410015M20RIK"	0.00104099262325687	0.836798889911731	0.16	0.006	1	"4"	"2410015M20RIK"	0.149767584076291
"FAM167B"	0.00107141927756612	0.733080273105343	0.18	0.019	1	"4"	"FAM167B"	0.150065662564105
"ITM2A"	0.00150544793490242	0.602035902839632	0.06	0	1	"4"	"ITM2A"	0.177563622216648
"UNC13D"	0.00163433664829372	0.711646103157134	0.08	0	1	"4"	"UNC13D"	0.187822996350063
"VPS11"	0.00179328375235096	0.607513907473355	0.1	0	1	"4"	"VPS11"	0.196036531171634
"CPSF6"	0.00191551990828526	0.814127446560765	0.16	0.006	1	"4"	"CPSF6"	0.203979098617966
"FOS1"	0.00192890545868926	0.114222704024257	0.46	0.381	1	"4"	"FOS"	0.203979098617966
"SF3A1"	0.0020473779876253	0.876045977340838	0.14	0	1	"4"	"SF3A1"	0.211761880166229
"CCDC107"	0.00207810009950849	0.865834878228643	0.18	0	1	"4"	"CCDC107"	0.212250577018728
"P2RY121"	0.00210272546684706	0.0546859483767581	0.94	0.738	1	"4"	"P2RY12"	0.212250577018728
"CCT7"	0.00215016524359546	0.766123562032695	0.14	0.006	1	"4"	"CCT7"	0.212250577018728
"GOLM1"	0.00220995692269984	0.0829587532570391	0.88	0.419	1	"4"	"GOLM1"	0.212250577018728
"NXT1"	0.00228028859827605	0.487114789761832	0.06	0	1	"4"	"NXT1"	0.214410912534404
"DEPTOR"	0.00230604078646696	0.774837904732433	0.06	0	1	"4"	"DEPTOR"	0.215326558436352
"TMOD1"	0.00273099834135154	0.669789581067228	0.1	0	1	"4"	"TMOD1"	0.23733819219715
"MERTK"	0.00273593780979906	0.232288967775902	0.76	0.312	1	"4"	"MERTK"	0.23733819219715
"UBE3A"	0.00282248116225724	0.57540656902742	0.22	0.031	1	"4"	"UBE3A"	0.241726635080961
"MYADM"	0.00292207703427966	0.694731859215861	0.16	0.012	1	"4"	"MYADM"	0.247418124845788
"PPAT"	0.00292573864721704	0.465799355399155	0.06	0	1	"4"	"PPAT"	0.247418124845788
"NPL"	0.0029989180931245	0.559065827534855	0.2	0.025	1	"4"	"NPL"	0.25202157925095
"GHITM"	0.00311186122350129	0.820441180745987	0.26	0.019	1	"4"	"GHITM"	0.25988873298881
"SPPL3"	0.00330244337258066	0.841526043462475	0.18	0.006	1	"4"	"SPPL3"	0.272421187654721
"BCOR"	0.00354103827702863	0.55086285716249	0.08	0	1	"4"	"BCOR"	0.286824100439319
"DHCR7"	0.00358936329905241	0.637900150745033	0.08	0	1	"4"	"DHCR7"	0.287277255470588
"TXLNG"	0.003787973441907	0.549229105796969	0.08	0	1	"4"	"TXLNG"	0.299808435479001
"GM38042"	0.00405704412218364	0.793874526547375	0.16	0.006	1	"4"	"GM38042"	0.31040956342862
"DDRGK1"	0.00460053162171972	0.439779146973749	0.34	0.062	1	"4"	"DDRGK1"	0.316378228826344
"ACIN1"	0.00473197917518998	0.389333460853602	0.6	0.188	1	"4"	"ACIN1"	0.316378228826344
"PAF1"	0.0048994862384153	0.454945849425786	0.06	0	1	"4"	"PAF1"	0.316378228826344
"ZCCHC10"	0.00510644449428137	0.591366569741814	0.08	0	1	"4"	"ZCCHC10"	0.316378228826344
"PIK3R5"	0.00569960100026477	0.634866588331443	0.12	0	1	"4"	"PIK3R5"	0.316378228826344
"HMGXB4"	0.0057848468481886	0.835449229953917	0.16	0.006	1	"4"	"HMGXB4"	0.316378228826344
"DPP9"	0.00591334067525695	0.454095692648021	0.06	0	1	"4"	"DPP9"	0.316378228826344
"EIF1B"	0.00618711471432775	0.519022813784463	0.26	0.05	1	"4"	"EIF1B"	0.322579194054345
"TMEM71"	0.00621376690663278	0.355738642549098	0.06	0.006	1	"4"	"TMEM71"	0.322588068828511
"TSPAN13"	0.00627453641786672	0.977552149065811	0.28	0.031	1	"4"	"TSPAN13"	0.323246807182513
"REXO2"	0.00630366975180583	0.577939550693361	0.2	0.038	1	"4"	"REXO2"	0.323508181231989
"MRPL48.PS"	0.00693903834015284	0.598466549863127	0.08	0	1	"4"	"MRPL48.PS"	0.347618652228268
"DPM3"	0.0070000147438978	0.43708741884969	0.2	0.044	1	"4"	"DPM3"	0.348600734246111
"CCDC32"	0.0071078829612087	0.448380594988393	0.06	0	1	"4"	"CCDC32"	0.351369831972104
"TAZ"	0.0072624326340434	0.678298077357013	0.16	0.019	1	"4"	"TAZ"	0.357694758964643
"VAV2"	0.00764038718172471	0.580982034725581	0.06	0.006	1	"4"	"VAV2"	0.369693140915912
"SIPA1"	0.00780151587789279	0.290132346637784	0.3	0.075	1	"4"	"SIPA1"	0.374639937479094
"TTYH1"	0.0079009449380915	0.181679956954278	0.06	0.012	1	"4"	"TTYH1"	0.377674154149763
"AKIRIN2"	0.00792087695003965	0.584529874088427	0.36	0.056	1	"4"	"AKIRIN2"	0.377674154149763
"TSG101"	0.008054282013838	0.450508936770784	0.22	0.038	1	"4"	"TSG101"	0.378457723533209
"C1QA"	0.00814634401036155	0.268748760172484	1	0.875	1	"4"	"C1QA"	0.378457723533209
"CLINT1"	0.00827506847529104	0.736899613264547	0.16	0.025	1	"4"	"CLINT1"	0.378457723533209
"SLC20A1"	0.00844360587569229	0.552225136203543	0.1	0	1	"4"	"SLC20A1"	0.380939420150011
"E130311K13RIK"	0.00880194303461902	0.493511521940633	0.08	0	1	"4"	"E130311K13RIK"	0.386352271125777
"ZFP688"	0.00880991084884161	0.37128934453216	0.06	0.006	1	"4"	"ZFP688"	0.386352271125777
"FGL2"	0.00898819666521986	0.307230412430895	0.06	0.006	1	"4"	"FGL2"	0.391117451005004
"SMARCAL1"	0.00915354764281669	0.378769491097365	0.04	0	1	"4"	"SMARCAL1"	0.395295612879533
"GNS"	0.00930783996817715	0.355635486245253	0.6	0.175	1	"4"	"GNS"	0.396626407225687
"RPF2"	0.00932128102657423	0.659922711513225	0.14	0	1	"4"	"RPF2"	0.396626407225687
"SYNGR1"	0.00967008064511176	0.509913587298565	0.26	0.069	1	"4"	"SYNGR1"	0.404489563834308
"GNAI3"	0.00968657143794788	0.376859264119912	0.04	0	1	"4"	"GNAI3"	0.404489563834308
"CEBPZ"	0.00986541873328258	0.364854772026498	0.2	0.062	1	"4"	"CEBPZ"	0.409414877431227
"PRMT9"	0.00994546633261374	0.425585383715518	0.06	0	1	"4"	"PRMT9"	0.410456739007074
"SEC23B"	0.00995157644773956	0.607446703314328	0.12	0	1	"4"	"SEC23B"	0.410456739007074
