"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"	"qvalue"
0.00471026511684419	1.5752165225272	0.2	0.051	1	"1"	"KHDRBS1"	0.232788270496184
0.00669569293285188	0.68374748599834	0.05	0.032	1	"1"	"OXA1L"	0.279144540325835
7.09402869106228e-07	0.184539702242736	0.941	0.667	0.00953863097800234	"2"	"TTR"	0.000635908731866822
0.000136089580251037	0.97330398394822	0.176	0	1	"2"	"WDFY4"	0.032102815720271
0.000411593590697771	0.529800407578574	0.059	0	1	"2"	"AAED1"	0.0658843740538361
0.000446636978909345	0.1017676239374	0.961	0.727	1	"2"	"P2RY12"	0.0706527155107653
0.00067860682007957	0.718422852155091	0.235	0.048	1	"2"	"TARDBP"	0.0903420525028703
0.000986489998249938	0.216128834659404	0.961	0.812	1	"2"	"CX3CR1"	0.107840199320883
0.00105810912874847	0.780971588709281	0.118	0	1	"2"	"ANKRA2"	0.112915359882158
0.00108434869717542	0.0807668395093817	0.843	0.473	1	"2"	"FCRLS"	0.113907442048599
0.00123575882570604	0.729319152094404	0.176	0.018	1	"2"	"FAM167B"	0.122176567429731
0.00159893654356109	0.657979234535857	0.078	0.006	1	"2"	"MARK2"	0.146253746698792
0.00166229753922725	0.951112716324763	0.196	0.006	1	"2"	"CFDP1"	0.148871207317921
0.00171757054646795	0.701612316307581	0.078	0	1	"2"	"UNC13D"	0.149963984206546
0.00189878661331898	0.598546434708573	0.098	0	1	"2"	"VPS11"	0.160649081861291
0.00197380279742469	0.494306351598353	0.059	0	1	"2"	"SHKBP1"	0.161215230599813
0.00209975088315091	0.56671896358077	0.078	0	1	"2"	"DNAJB2"	0.167060653105604
0.00212013791545403	0.806140046842004	0.157	0.006	1	"2"	"CPSF6"	0.167690437712911
0.00233617535537271	0.791977696919719	0.216	0.03	1	"2"	"XLR"	0.176871571669383
0.00239652926342723	0.479525208723024	0.059	0	1	"2"	"NXT1"	0.178031671138357
0.00242305411590555	0.764208642469327	0.059	0	1	"2"	"DEPTOR"	0.178034894221126
0.0024560458252769	0.772709875209696	0.157	0.006	1	"2"	"SLC25A17"	0.179478218297137
0.00256371282686194	0.854411053969596	0.176	0	1	"2"	"CCDC107"	0.183360014202051
0.00284862722217593	0.451835953601343	0.059	0.006	1	"2"	"TIGD2"	0.194251786956486
0.00306056274015356	0.458471260627927	0.059	0	1	"2"	"PPAT"	0.201955563613711
0.00320768199648405	0.73230954916892	0.157	0.012	1	"2"	"2410015M20RIK"	0.202957317960673
0.0032704243902335	0.689648359247687	0.157	0.012	1	"2"	"MYADM"	0.205486571734017
0.00336450879016414	0.40628046576526	0.608	0.164	1	"2"	"GNS"	0.206638890446539
0.00340238401372585	0.531741308276139	0.235	0.024	1	"2"	"GM9025"	0.207006585740081
0.00370152657247434	0.542523320867551	0.078	0	1	"2"	"BCOR"	0.217339416128777
0.00373478466523867	0.834256936205667	0.176	0.006	1	"2"	"SPPL3"	0.217393569735061
0.00384647859779761	0.815862877342572	0.255	0.018	1	"2"	"GHITM"	0.219151488245706
0.00393614416462451	0.383037550225816	0.196	0.03	1	"2"	"CTSO"	0.22160894425966
0.00395919708625512	0.540908205457715	0.078	0	1	"2"	"TXLNG"	0.22160894425966
0.00404693537678645	0.696464838191751	0.137	0	1	"2"	"FAM172A"	0.224584077019476
0.00449614476250025	0.784935329006904	0.157	0.006	1	"2"	"GM38042"	0.232519855679147
0.00495601487082177	0.293042333339668	1	0.667	1	"2"	"LAPTM5"	0.237994914118105
0.00501597806446849	0.587177438441799	0.098	0	1	"2"	"MARCH6"	0.239010122447185
0.00503868335207409	0.0582770639620136	0.51	0.206	1	"2"	"MAN2B1"	0.239010122447185
0.00533839638881255	0.582574508579622	0.078	0	1	"2"	"ZCCHC10"	0.245522154025092
0.00538666037761431	0.289819835191199	0.118	0.018	1	"2"	"ARHGAP4"	0.245522154025092
0.00597281319692726	0.140791603888768	0.471	0.364	1	"2"	"FOS"	0.266606900040917
0.00600787525750394	0.760513118795888	0.176	0.006	1	"2"	"NPC1"	0.266606900040917
0.0061263004510988	0.446913530467208	0.059	0	1	"2"	"DPP9"	0.269414684395402
0.00632237528237023	0.625608297464095	0.118	0	1	"2"	"PIK3R5"	0.276008630021916
0.00642544377900551	0.82673009921716	0.157	0.006	1	"2"	"HMGXB4"	0.277407633607283
0.0065577766940634	0.313522373088091	0.745	0.297	1	"2"	"MERTK"	0.278900343786646
0.00665696266433968	0.351979881797037	0.059	0.006	1	"2"	"TMEM71"	0.279144540325835
0.00697713634780634	0.52425857017961	0.078	0	1	"2"	"AI467606"	0.287774770958908
0.00726504686895693	0.589597015043941	0.078	0	1	"2"	"MRPL48.PS"	0.296917386626124
0.00735232539666751	0.441270309386931	0.059	0	1	"2"	"CCDC32"	0.299573840253307
0.0079704795835191	0.988932482676358	0.275	0.03	1	"2"	"TSPAN13"	0.318015039999993
0.00811587024328013	0.5277352153062	0.098	0.006	1	"2"	"PDS5B"	0.322175126850447
0.00814230512032143	0.674893453897392	0.157	0.018	1	"2"	"TAZ"	0.322175126850447
0.008146626738744	0.574598191083444	0.059	0.006	1	"2"	"VAV2"	0.322175126850447
0.0082487910035727	0.438626855269926	0.196	0.042	1	"2"	"DPM3"	0.323362226921395
0.00870340451159691	0.15109583172285	0.373	0.133	1	"2"	"YTHDC1"	0.338128994787428
0.00875293354711104	0.355800805932051	0.588	0.188	1	"2"	"ACIN1"	0.338195242742687
0.00911470430840069	0.543870083593091	0.098	0	1	"2"	"SLC20A1"	0.347185025866163
