"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
4.12825348911015e-30	1.4558120696121	0.327	0.065	5.55084964145751e-26	"WT mice (Midbrain)"	"EGR1"
2.14765691768756e-29	1.06942845142389	0.421	0.121	2.88773949152269e-25	"WT mice (Midbrain)"	"FOS"
2.85285425499209e-27	0.540929948828798	0.977	0.919	3.83594783126237e-23	"WT mice (Midbrain)"	"MALAT1"
1.16774611580969e-18	1.0546154037192	0.292	0.085	1.57015142731771e-14	"WT mice (Midbrain)"	"XPR1"
4.66962467507822e-17	0.996633630370536	0.365	0.139	6.27877733811017e-13	"WT mice (Midbrain)"	"VWA1"
1.38987760211745e-12	1.06156224479416	0.056	0	1.86882942380713e-08	"WT mice (Midbrain)"	"DLK1"
1.40315318238057e-11	0.74197047070795	0.09	0.006	1.88667976902892e-07	"WT mice (Midbrain)"	"H2.T3"
1.51960380383497e-11	0.722757196059753	0.05	0	2.0432592746365e-07	"WT mice (Midbrain)"	"CAR9"
3.39708497547347e-11	0.968265384232554	0.121	0.021	4.56772045802163e-07	"WT mice (Midbrain)"	"NR4A1"
4.82765197620211e-11	1.5627612648829	0.071	0.007	6.49126084720136e-07	"WT mice (Midbrain)"	"SCN7A"
1.01632716545811e-10	1.08967343738032	0.138	0.029	1.36655350667497e-06	"WT mice (Midbrain)"	"FOSB"
1.40153902512829e-10	0.933090561570375	0.183	0.057	1.8845093731875e-06	"WT mice (Midbrain)"	"IER2"
1.87338782148502e-10	0.65190239889852	0.044	0	2.51895726476876e-06	"WT mice (Midbrain)"	"FAM81B"
2.05794634388794e-10	1.01603112968649	0.102	0.014	2.76711465399172e-06	"WT mice (Midbrain)"	"CYR61"
3.97704355978224e-10	1.14521127100357	0.133	0.033	5.3475327704832e-06	"WT mice (Midbrain)"	"IGFBP5"
5.03170102317041e-10	0.587482165170091	0.046	0	6.76562519575494e-06	"WT mice (Midbrain)"	"FOXB1"
5.20183185578872e-10	0.648206687703304	0.042	0	6.99438311329352e-06	"WT mice (Midbrain)"	"COL23A1"
6.42178789358998e-10	0.633337274818948	0.252	0.09	8.63473600172108e-06	"WT mice (Midbrain)"	"KCNJ10"
7.16020955000031e-10	0.63405056101737	0.133	0.025	9.62761776093042e-06	"WT mice (Midbrain)"	"ENHO"
1.23454673335686e-09	0.530891595785724	0.044	0	1.65997153767164e-05	"WT mice (Midbrain)"	"SEMA3D"
1.29983543188581e-09	0.463524468186545	0.044	0	1.74775872171365e-05	"WT mice (Midbrain)"	"CHL1"
2.00656615030024e-09	0.640903488312232	0.042	0	2.6980288456937e-05	"WT mice (Midbrain)"	"COL25A1"
2.12306040066174e-09	0.788651571115615	0.275	0.124	2.85466701472977e-05	"WT mice (Midbrain)"	"GM13340"
2.48987790469252e-09	0.650062348710498	0.31	0.137	3.34788983064956e-05	"WT mice (Midbrain)"	"FEZ1"
2.50543050866263e-09	0.557955991840804	0.338	0.156	3.36880186194777e-05	"WT mice (Midbrain)"	"GSTM1"
2.92833973335375e-09	1.0216459163684	0.035	0	3.93744560546745e-05	"WT mice (Midbrain)"	"NOV"
3.94663943977644e-09	0.432225355341299	0.04	0	5.3066513907234e-05	"WT mice (Midbrain)"	"GRIK3"
4.73105973662146e-09	0.26453516739789	0.429	0.238	6.36138292186122e-05	"WT mice (Midbrain)"	"JUN"
5.4595664525804e-09	0.463209698726609	0.04	0	7.34093305213961e-05	"WT mice (Midbrain)"	"GM6335"
1.07409588110351e-08	0.582265715132937	0.181	0.058	0.000144422932173177	"WT mice (Midbrain)"	"RAMP1"
1.08086573124566e-08	0.468921283212898	0.038	0	0.000145333206223291	"WT mice (Midbrain)"	"RAX"
1.14880612079989e-08	0.508188210419052	0.035	0	0.000154468471002753	"WT mice (Midbrain)"	"CITED1"
