"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"	"qvalue"
6.43748050206146e-05	0.820338048210056	0.391	0.079	0.865583628307184	"1"	"GM17087"	0.00465367542100637
6.74835253163384e-05	0.93533416268056	0.126	0	0.907383481403485	"1"	"TGFBRAP1"	0.00484673398533612
7.68363866432616e-05	0.871363560498995	0.126	0	1	"1"	"CTR9"	0.00543758976213313
7.85272264972476e-05	0.924956877879483	0.207	0.014	1	"1"	"BOD1L"	0.00552815229048163
0.000110728320725496	1.1242251855093	0.23	0.036	1	"1"	"GOLGB1"	0.00722744174987871
0.000142314462871562	0.713973431956091	0.322	0.079	1	"1"	"NTPCR"	0.00894187041014498
0.000210071171256797	0.815508278622841	0.08	0	1	"1"	"GM31166"	0.0122192970181252
0.000213637945738726	0.7502257856844	0.069	0	1	"1"	"ARHGEF7"	0.0122237268868209
0.000245208895242223	0.880124838987545	0.126	0	1	"1"	"ERLEC1"	0.0137953088093177
0.000257161126664186	0.99900628964656	0.31	0.05	1	"1"	"TPP1"	0.0143476701623512
0.000303503187780411	0.614968567785211	0.575	0.186	1	"1"	"IFNGR1"	0.0164177065388281
0.000494042545495235	0.522362299686117	0.425	0.114	1	"1"	"LCP1"	0.0219963445918176
0.000518016954886865	0.898505829289431	0.103	0.007	1	"1"	"CRELD2"	0.0229876434831973
0.000524554289455566	0.93465183889515	0.184	0.021	1	"1"	"LACTB"	0.0231341029775802
0.000539095839456006	0.861957745906965	0.218	0.021	1	"1"	"EMC7"	0.0236113441606693
0.000571291979583224	0.727267464173735	0.069	0	1	"1"	"TRIM47"	0.0246204870431924
0.000591126753186567	0.667804512562247	0.092	0	1	"1"	"UBE2W"	0.0253130265074732
0.0006112346228539	0.718094404849876	0.103	0	1	"1"	"TPT1.PS6"	0.0260084200597897
0.000639412314618864	0.821793824316458	0.115	0	1	"1"	"RAB11FIP5"	0.0260203835917988
0.000642593984073216	0.869147332475326	0.103	0	1	"1"	"TEP1"	0.0260203835917988
0.000731154877495102	0.754896127016177	0.069	0	1	"1"	"ETV5"	0.0284136083317894
0.00077097326145803	0.778140433409821	0.034	0	1	"1"	"GM12057"	0.0297888117056456
0.000809088487009577	0.943848349448082	0.092	0	1	"1"	"KIN"	0.0309943128100592
0.000851098563593964	0.699663148653108	0.092	0	1	"1"	"TAL1"	0.0321457058597877
0.000910678341696036	0.328058256417551	0.402	0.121	1	"1"	"CD164"	0.0340138360623469
0.000965964583735413	0.529005353090293	0.31	0.071	1	"1"	"GTF2H2"	0.0358794469417303
0.00109177387270171	0.503290362710605	0.345	0.1	1	"1"	"RHOA"	0.0387334867871956
0.00113283434698728	0.86125551676008	0.161	0.007	1	"1"	"DCUN1D5"	0.0399792404976142
0.00115808775585283	0.633829969108597	0.092	0	1	"1"	"ENTPD6"	0.0405511665760344
0.00125994505623162	0.777742074360754	0.471	0.157	1	"1"	"ACIN1"	0.043498413485937
0.00127641087840711	0.635335831421401	0.046	0	1	"1"	"TCAF1"	0.0438941705142252
0.00130815546200063	0.666858679068557	0.08	0	1	"1"	"POLDIP2"	0.0447568914556246
0.00134544275532605	0.660209654386802	0.034	0	1	"1"	"GBP2"	0.0456838971922074
0.00136377447754863	0.999268855180464	0.172	0.021	1	"1"	"NUFIP2"	0.0460736472992936
0.00151857204909976	0.725573522316037	0.046	0	1	"1"	"GM9531"	0.0502924132320084
0.00154097235681721	0.637299848598745	0.08	0	1	"1"	"TBC1D17"	0.050908880367971
0.00161003423950135	0.715490448144427	0.161	0.029	1	"1"	"HDLBP"	0.0521651093598436
0.00169450850991871	0.695300573007897	0.069	0	1	"1"	"MBD3"	0.0539884255587899
0.00169640401196546	0.733347002686713	0.069	0	1	"1"	"ATG10"	0.0539884255587899
0.00174437228352014	0.302467620448512	0.678	0.371	1	"1"	"MAF"	0.0548010040285322
0.00187856377851541	0.615122963531798	0.299	0.071	1	"1"	"G3BP2"	0.0565864616351767
0.00192324951415111	0.589383375208883	0.046	0	1	"1"	"SLC37A3"	0.0565864616351767
0.00198310261003219	0.927365409164501	0.069	0	1	"1"	"LYZ1"	0.0575913557116477
0.00202288405859968	0.95579175343814	0.253	0.036	1	"1"	"GM5160"	0.0582434669206236
0.00219111092871508	0.624790452209082	0.069	0	1	"1"	"CDK14"	0.0620245843105326
0.00225829297336992	1.28653545112885	0.161	0.014	1	"1"	"GIGYF2"	0.063658296268201
0.0023393206937261	0.748498567591598	0.069	0	1	"1"	"UVSSA"	0.0655302209330023
0.00257302968911722	0.613169091480978	0.08	0	1	"1"	"H2.M3"	0.0714813165286572
0.00265839557869776	0.657601130341861	0.207	0.036	1	"1"	"GM6576"	0.0735489443439714
0.00272829782933288	0.737837663912534	0.069	0	1	"1"	"LIMA1"	0.0751735504369055
0.00280932325234145	0.739225381940358	0.057	0	1	"1"	"ABI2"	0.0770261589230983
0.00310310933556721	0.559948215575994	0.057	0	1	"1"	"GMPPA"	0.0841217905766868
0.00315992834143598	0.54766266621709	0.069	0	1	"1"	"RANGAP1"	0.0853180652187713
0.00334747677036769	0.641572461340343	0.069	0	1	"1"	"H2.K2"	0.089305898123738
0.0034650455966996	0.599331629366291	0.069	0	1	"1"	"GPR137B"	0.091714573018155
0.00357363451945528	0.208729433946397	0.46	0.193	1	"1"	"CTSH"	0.0922759637119512
0.00377283626810508	0.738084752510571	0.046	0	1	"1"	"TPGS2"	0.0957161442659262
0.00378098557149061	0.637117405497358	0.069	0	1	"1"	"MAP3K4"	0.0957422448102877
